Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1477,96.2699058
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,3956,91.659888
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTH,Home University,Any,5644,88.9733295
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,2743,93.7730871
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,10793,81.507277
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,623,98.2106021
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LVJH,Home University,Ladies,4202,91.2195591
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LNT2H,Home University,Ladies,15654,75.2680452
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,1184,96.9031208
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSEBCH,Home University,Ladies,6224,87.9283936
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,PWDOPENH,Home University,Any,19266,70.4092512
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,877,97.5899668
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCO,Other than Home University,Any,2260,94.6583138
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT1O,Other than Home University,Any,16052,74.8699368
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT3O,Other than Home University,Any,3711,92.0988129
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCO,Other than Home University,Any,1159,96.9776925
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,378,98.8282697
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSTO,Other than Home University,Ladies,7666,85.814344
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,DEFOPENS,State Level,Any,5952,88.5327053
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,DEFRSCS,State Level,Any,6185,88.1228442
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,EWS,Special,Any,1651,95.8676149
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,1021,97.2741619
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSCH,Home University,Any,2325,94.509476
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSTH,Home University,Any,8191,85.0088521
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GVJH,Home University,Any,1360,96.5218599
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT1H,Home University,Any,1570,96.0451437
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT2H,Home University,Any,2059,95.0166728
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GNT3H,Home University,Any,1722,95.7151738
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,1178,96.9123411
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,4569,90.6223114
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENH,Home University,Ladies,819,97.7575102
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSCH,Home University,Ladies,1764,95.6841448
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSTH,Home University,Ladies,7182,86.4637182
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,1047,97.1800019
2024-25,B Pharmacy,CAP Round I,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LSEBCH,Home University,Ladies,2824,93.5806257
