Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2023-24,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GOPENS,State Level,Any,1506,86.0
2023-24,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GSCS,State Level,Any,4580,79.67
2023-24,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,LOPENS,State Level,Ladies,2191,84.0
2023-24,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,LNT3S,State Level,Ladies,6579,77.0
2023-24,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,ORPHAN,Special,Any,1714,85.33
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GOPENS,State Level,Any,3160,82.33
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GSCS,State Level,Any,8276,75.0
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LOPENS,State Level,Ladies,3299,82.0
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LSCS,State Level,Ladies,19745,62.0
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LSTS,State Level,Ladies,26561,55.0
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LVJS,State Level,Ladies,10255,72.67
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,EWS,Special,Any,3779,81.0
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,DEFOPENS,State Level,Any,3614,81.33
2023-24,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,ORPHAN,Special,Any,3780,81.0
2023-24,D Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENS,State Level,Any,2935,82.67
2023-24,D Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSCS,State Level,Any,27436,54.0
2023-24,D Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOBCS,State Level,Any,30667,50.33
2023-24,D Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LSCS,State Level,Ladies,5987,77.67
2023-24,D Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOBCS,State Level,Ladies,40146,41.0
2023-24,D Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,EWS,Special,Any,7067,76.33
2023-24,D Pharmacy,CAP Round III,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,TFWS,Special,Any,10166,72.67
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GOPENS,State Level,Any,8511,74.67
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GSCS,State Level,Any,12315,70.33
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GNT1S,State Level,Any,9901,73.0
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GNT2S,State Level,Any,15465,66.67
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GNT3S,State Level,Any,27690,53.67
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GVJS,State Level,Any,18925,63.0
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GOBCS,State Level,Any,10600,72.33
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,LSCS,State Level,Ladies,11197,71.67
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,LOBCS,State Level,Ladies,10728,72.0
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,EWS,Special,Any,20961,60.67
2023-24,D Pharmacy,CAP Round III,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,DEFOPENS,State Level,Any,10671,72.0
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GOPENS,State Level,Any,11893,70.67
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GSCS,State Level,Any,29213,52.0
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GOBCS,State Level,Any,18280,63.67
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,EWS,Special,Any,41064,40.33
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,DEFOPENS,State Level,Any,12644,70.0
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GSTS,State Level,Any,13841,68.67
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GNT2S,State Level,Any,14450,68.0
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,LSTS,State Level,Ladies,14046,68.33
2023-24,D Pharmacy,CAP Round III,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,ORPHAN,Special,Any,14519,68.0
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GOPENS,State Level,Any,6152,77.33
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GSTS,State Level,Any,22680,59.0
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GNT1S,State Level,Any,17678,64.33
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GNT3S,State Level,Any,20939,61.0
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,GOBCS,State Level,Any,33870,47.0
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,LNT1S,State Level,Ladies,17405,64.67
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,LOBCS,State Level,Ladies,24422,57.0
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,EWS,Special,Any,34307,46.67
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,DEFOPENS,State Level,Any,14691,67.67
2023-24,D Pharmacy,CAP Round III,01134,"Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy, Yavatmal",Yavatmal,Unaided,LVJS,State Level,Ladies,15994,66.33
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,GOPENS,State Level,Any,13266,69.33
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,GNT1S,State Level,Any,27229,54.0
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,GOBCS,State Level,Any,16515,65.67
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,LNT2S,State Level,Ladies,34697,46.33
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,EWS,Special,Any,15151,67.0
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,PWDOPENS,State Level,Any,17121,65.0
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,GSTS,State Level,Any,18941,63.0
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,GNT2S,State Level,Any,20478,61.33
2023-24,D Pharmacy,CAP Round III,01136,"Dr. Rajendra Gode College of Pharmacy,Malkapur",Akola,Unaided,GVJS,State Level,Any,21954,59.67
2023-24,D Pharmacy,CAP Round III,01155,"Shikshan Prsarak Mandal's Institute of Pharmacy, Wani",Washim,Unaided,GOPENS,State Level,Any,40117,41.0
2023-24,D Pharmacy,CAP Round III,01155,"Shikshan Prsarak Mandal's Institute of Pharmacy, Wani",Washim,Unaided,GNT3S,State Level,Any,41996,39.33
2023-24,D Pharmacy,CAP Round III,01155,"Shikshan Prsarak Mandal's Institute of Pharmacy, Wani",Washim,Unaided,GOBCS,State Level,Any,42783,38.67
2023-24,D Pharmacy,CAP Round III,01155,"Shikshan Prsarak Mandal's Institute of Pharmacy, Wani",Washim,Unaided,LOPENS,State Level,Ladies,32410,48.67
2023-24,D Pharmacy,CAP Round III,01155,"Shikshan Prsarak Mandal's Institute of Pharmacy, Wani",Washim,Unaided,GSCS,State Level,Any,43397,38.33
2023-24,D Pharmacy,CAP Round III,01155,"Shikshan Prsarak Mandal's Institute of Pharmacy, Wani",Washim,Unaided,GSTS,State Level,Any,44516,37.33
2023-24,D Pharmacy,CAP Round III,01155,"Shikshan Prsarak Mandal's Institute of Pharmacy, Wani",Washim,Unaided,LSCS,State Level,Ladies,44370,37.33
2023-24,D Pharmacy,CAP Round III,01156,"Janata Shikshan Prasarak Mandal's Sudhakarrao Naik Institute Of Pharmacy, Pusad",Yavatmal,Unaided,GOPENS,State Level,Any,7885,75.33
