Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GOPEN,State Level,Any,500,89.0
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GSC,State Level,Any,4505,78.67
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GNTC,State Level,Any,11154,69.33
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GNTD,State Level,Any,8031,73.67
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GOBC,State Level,Any,2707,82.0
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,GSEBC,State Level,Any,12445,67.67
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,LOPEN,State Level,Ladies,2063,83.67
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,LSC,State Level,Ladies,13023,66.67
2024-25,D Pharmacy,CAP Round III,01008,"Government Polytechnic, Amravati",Amravati,Government,LOBC,State Level,Ladies,2941,81.67
2024-25,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GOPEN,State Level,Any,5288,77.67
2024-25,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GNTC,State Level,Any,19724,57.67
2024-25,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GOBC,State Level,Any,5649,77.0
2024-25,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,GSEBC,State Level,Any,13986,65.33
2024-25,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,LOPEN,State Level,Ladies,4970,78.0
2024-25,D Pharmacy,CAP Round III,01014,"Geetadevi Khandelwal Institute of Pharmacy, Akola",Akola,Aided,ORPHAN,Special,Any,5725,77.0
