Year,Branch_Name,CAP_Round,College_Code,College_Name,Location,College_Type,Category,Seat_Type,Gender,Rank,Percentile
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENH,Home University,Any,3599,92.5227598
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LVJH,Home University,Ladies,6187,88.465628
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOBCH,Home University,Any,1989,95.3197571
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCH,Home University,Any,12757,79.7474064
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOBCH,Home University,Ladies,2702,94.0713203
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GOPENO,Other than Home University,Any,1741,95.7233223
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,GSEBCO,Other than Home University,Any,3713,92.2408301
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,LOPENO,Other than Home University,Ladies,1588,96.1083608
2025-26,B Pharmacy,CAP Round IV,01003,"Government College of Pharmacy, Amravati",Amravati,Government,TFWS,Special,Any,1643,95.9765449
2025-26,B Pharmacy,CAP Round IV,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GOPENH,Home University,Any,14345,77.7045034
2025-26,B Pharmacy,CAP Round IV,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GVJH,Home University,Any,22868,67.3218449
2025-26,B Pharmacy,CAP Round IV,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LOBCH,Home University,Ladies,8176,85.5921744
2025-26,B Pharmacy,CAP Round IV,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GNT2H,Home University,Any,15058,76.8955509
2025-26,B Pharmacy,CAP Round IV,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,LSTH,Home University,Ladies,18269,72.8590432
2025-26,B Pharmacy,CAP Round IV,01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Yavatmal,Unaided,GSTO,Other than Home University,Any,15972,75.5615697
2025-26,B Pharmacy,CAP Round IV,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,LOPENH,Home University,Ladies,3694,92.2475659
2025-26,B Pharmacy,CAP Round IV,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,LOBCH,Home University,Ladies,5352,89.7377897
2025-26,B Pharmacy,CAP Round IV,01131,"Vidya Bharati College of Pharmacy, Amravati",Amravati,Unaided,GOBCO,Other than Home University,Any,10795,82.1346136
2025-26,B Pharmacy,CAP Round IV,01133,"Anuradha College Of Pharmacy, Chikhli",Buldhana,Unaided,GOPENH,Home University,Any,11218,81.5685735
