dte_code,dte_name,cap_code,cap_name,match_score,needs_review
AR3439,"ANJUMAN-I-ISLAM'S KALSEKAR TECHNICAL CAMPUS, SCHOOL OF ARCHI",3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",0.78,
AR4104,"KAVI KULGURU INSTITUTE OF TECHNOLOGY & SCIENCE, RAMTEK",4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",1.0,
EN1101,SHRI SANT GAJANAN MAHARAJ COLL. OF . SHEGAON,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0.83,
EN1105,V.Y.W.S'S PROF. RAM MEGHE INSTITUTE OF TECHNOLOGY & RESEARCH,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0.44,YES
EN1107,P. R. POTE (PATIL) EDUCATION & WELFARE TRUST'S GROUP OF INST,1107,"P. R. Pote Patil College of Engineering & Management, Amrava",0.44,YES
EN1114,SIPNA SHIKSHAN PRASARAK MANDAL COLLEGE OF ENGINEERING & TECH,1114,Sipna Shikshan Prasarak Mandal College of Engineering & Tech,1.0,
EN1116,"SHRI SHIVAJI EDUCATION SOCIETY, AMRAVATI'S COLLEGE OF ENGINE",1116,Shri Shivaji Education Society's College of Engineering and ,0.83,
EN1117,"BABASAHEB NAIK COLLEGE OF ENGINEERING, KARLA ROAD, KAKADDATI",1117,Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of ,0.4,YES
EN1119,"SHIKSHAN SANTHA'S , ANURADHA COLLEGE OF ENGINEERING AND TECH",2138,Matsyodari Shikshan Sansatha's College of Engineering and Te,0.4,YES
EN1120,"JAWAHARLAL DARDA INSTITUTE OF ENGINEERING AND TECHNOLOGY, YA",1120,"Jawaharlal Darda Institute of Engineering and Technology, Ya",1.0,
EN1121,SHRI HANUMAN VYAYAM PRASARAK MANDALS COLLEGE OF ENGINEERING ,1121,Shri Hanuman Vyayam Prasarak Mandals College of Engineering ,0.83,
EN1123,"DR.RAJENDRA GODE INSTITUTE OF TECHNOLOGY & RESEARCH, AMRAVAT",1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravat",1.0,
EN1125,"RAJARSHI SHAHU COLLEGE OF ENGINEERING, BULDANA",1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shah",0.67,
EN1126,"TECHNOLOGY, DARAPUR, AMRAVATI (FORMERLY KNOW AS DR. SMT. KAM",1126,"Takshashila Institute of Engineering & Technology, Darapur, ",0.67,
EN1127,JAGADAMBHA BAHUUDDESHIYA GRAMIN VIKAS SANSTHA'S JAGDAMBHA CO,1127,Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha Co,0.88,
EN1128,"PROF RAM MEGHE COLLEGE OF ENGINEERING & MANAGEMENT, BADNERA-",1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0.8,
EN1130,SOCIETY'S PANKAJ LADDHAD INSTITUTE OF TECHNOLOGY & MANAGEMEN,1130,Vision Buldhana Educational & Welfare Society's Pankaj Laddh,0.5,YES
EN1180,"SANMATI ENGINEERING COLLEGE, SAWARGAON BARDE WASHIM",1180,"Sanmati Engineering College, Sawargaon Barde, Washim",1.0,
EN1182,"PADMASHRI DR. V.B. KOLTE COLLEGE OF ENGINEERING, MALKAPUR",1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, B",0.86,
EN1265,"MAULI GROUP OF INSTITUTIONS, COLLEGE OF ENGINEERING AND TECH",1265,"Mauli Group of Institutions, College of Engineering and Tech",1.0,
EN1276,"MANAV SCHOOL OF ENGINEERING AND TECHNOLOGY, AKOLA",1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpu",1.0,
EN2111,"EVEREST EDUCATION SOCIETY, GROUP OF INSTITUTIONS (INTEGRATED",2111,"Everest Education Society, Group of Institutions (Integrated",1.0,
EN2112,"SHREE YASH PRATISHTHAN, SHREEYASH COLLEGE OF ENGINEERING AND",2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and",0.8,
EN2113,"G. S. MANDAL'S MAHARASHTRA INSTITUTE OF TECHNOLOGY, AURANGAB",2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangab",1.0,
EN2114,"DEOGIRI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES, AUR",2114,"Deogiri Institute of Engineering and Management Studies, Aur",1.0,
EN2116,MATOSHRI PRATISHTHAN'S GROUP OF INSTITUTION(INTEGRATED CAMPU,2116,Matoshri Pratishan's Group of Institutions (Integrated Campu,0.56,YES
EN2127,"MAHATMA GANDHI MISSIONS COLLEGE OF ., HINGOLI RD, NANDED",2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, ",1.0,
EN2129,"HINGOLI RD, NANDED. M.S. BIDVE ENGINEERING COLLEGE, LATUR",2129,"M.S. Bidve Engineering College, Latur",0.57,YES
EN2130,"TERNA PUBLIC CHARITABLE TRUST'S COLLEGE OF ENGINEERING, OSMA",2130,"Terna Public Charitable Trust's College of Engineering, Osma",1.0,
