college_code,college_name,avg_package_lpa,highest_package_lpa,placement_rate_pct
AR3439,"ANJUMAN-I-ISLAM'S KALSEKAR TECHNICAL CAMPUS, SCHOOL OF ARCHITECTURE",3.5,5.5,N/A
AR4104,"KAVI KULGURU INSTITUTE OF TECHNOLOGY & SCIENCE, RAMTEK",3.5,8.0,N/A
EN1101,SHRI SANT GAJANAN MAHARAJ COLL. OF . SHEGAON,4.8,14.0,74.44
EN1105,"V.Y.W.S'S PROF. RAM MEGHE INSTITUTE OF TECHNOLOGY & RESEARCH,BADNERA",4.8,20.0,81.12
EN1107,P. R. POTE (PATIL) EDUCATION & WELFARE TRUST'S GROUP OF INSTITUTE COLLEGE OF,6.0,10.0,80.0
EN1114,"SIPNA SHIKSHAN PRASARAK MANDAL COLLEGE OF ENGINEERING & TECHNOLOGY, AMRAVATI",4.0,8.0,49.56
EN1116,"SHRI SHIVAJI EDUCATION SOCIETY, AMRAVATI'S COLLEGE OF ENGINEERING AND",N/A,N/A,N/A
EN1117,"BABASAHEB NAIK COLLEGE OF ENGINEERING, KARLA ROAD, KAKADDATI,PUSAD",4.0,N/A,N/A
EN1119,"SHIKSHAN SANTHA'S , ANURADHA COLLEGE OF ENGINEERING AND TECHNOLOGY, CHIKHLI",7.5,15.0,70.0
EN1120,"JAWAHARLAL DARDA INSTITUTE OF ENGINEERING AND TECHNOLOGY, YAVATMAL",2.4,7.0,99.38
EN1121,SHRI HANUMAN VYAYAM PRASARAK MANDALS COLLEGE OF ENGINEERING & TECHNOLOGY,N/A,N/A,N/A
EN1123,"DR.RAJENDRA GODE INSTITUTE OF TECHNOLOGY & RESEARCH, AMRAVATI",N/A,N/A,N/A
EN1125,"RAJARSHI SHAHU COLLEGE OF ENGINEERING, BULDANA",N/A,N/A,N/A
EN1126,"TECHNOLOGY, DARAPUR, AMRAVATI (FORMERLY KNOW AS DR. SMT. KAMALTAI",N/A,N/A,N/A
EN1127,JAGADAMBHA BAHUUDDESHIYA GRAMIN VIKAS SANSTHA'S JAGDAMBHA COLLEGE OF,N/A,N/A,N/A
EN1128,"PROF RAM MEGHE COLLEGE OF ENGINEERING & MANAGEMENT, BADNERA-AMRAVATI",N/A,N/A,N/A
EN1130,SOCIETY'S PANKAJ LADDHAD INSTITUTE OF TECHNOLOGY & MANAGEMENT STUDIES,N/A,N/A,N/A
EN1180,"SANMATI ENGINEERING COLLEGE, SAWARGAON BARDE WASHIM",N/A,N/A,N/A
EN1182,"PADMASHRI DR. V.B. KOLTE COLLEGE OF ENGINEERING, MALKAPUR",N/A,N/A,N/A
