college_code,college_name,branch_name,category,cap_round,year,intake,filled_seats
01003,"Government College of Pharmacy, Amravati",Pharmacy,OPEN,CAP Round I,2025-26,6,3
01003,"Government College of Pharmacy, Amravati",Pharmacy,SC,CAP Round I,2025-26,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,ST,CAP Round I,2025-26,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,OBC,CAP Round I,2025-26,6,2
01003,"Government College of Pharmacy, Amravati",Pharmacy,SEBC,CAP Round I,2025-26,6,1
01003,"Government College of Pharmacy, Amravati",Pharmacy,EWS,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,OPEN,CAP Round I,2025-26,6,6
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,SC,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,ST,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,VJ/DT,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,NTC,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,OBC,CAP Round I,2025-26,6,3
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,SEBC,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,PWD,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,DEF,CAP Round I,2025-26,6,1
01115,"J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy, Pusad Dist. Yavatmal",Pharmacy,EWS,CAP Round I,2025-26,6,1
