college_code,college_name,branch_name,category,cap_round,year,intake,filled_seats
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,Computer Engineering,State Level,CAP Round I,2025-26,,
3209,K J Somaiya Institute of Technology,Computer Engineering,State Level,CAP Round I,2025-26,,
3460,Universal College of Engineering Kaman,Computer Engineering,State Level,CAP Round I,2025-26,,
4115,Shri Ramdeobaba College of Engineering and Management,Computer Engineering,State Level,CAP Round I,2025-26,,
4141,Shriram Gram Vikas Shikshan Sanstha Vilasrao Deshmukh College,Computer Engineering,State Level,CAP Round I,2025-26,,
4285,V M Institute of Engineering and Technology Dongargaon,Computer Engineering,State Level,CAP Round I,2025-26,,
4304,Cummins College of Engineering For Women Sukhali,Computer Engineering,State Level,CAP Round I,2025-26,,
6276,MKSSS Cummins College of Engineering for Women Karvenagar,Computer Engineering,State Level,CAP Round I,2025-26,,
6289,BRACT Vishwakarma Institute of Information Technology,Computer Engineering,State Level,CAP Round I,2025-26,,
6318,Abhinav Education Society College of Engineering,Computer Engineering,State Level,CAP Round I,2025-26,,
6419,Nutan College of Engineering and Research,Computer Engineering,State Level,CAP Round I,2025-26,,
6938,Shree Siddheshwar Women College Of Engineering Solapur,Computer Engineering,State Level,CAP Round I,2025-26,,
16126,Tatyasaheb Kore Institute of Engineering and Technology,Computer Engineering,State Level,CAP Round I,2025-26,,
