college_code,avg_package_lpa,highest_package_lpa,placement_rate_pct
AR3439,3.5,5.5,N/A
AR4104,3.5,8.0,N/A
EN1101,4.8,14.0,74.44
EN1105,4.8,20.0,81.12
EN1107,6.0,10.0,80.0
EN1114,4.0,8.0,49.56
EN1116,N/A,N/A,N/A
EN1117,4.0,N/A,N/A
EN1119,7.5,15.0,70.0
EN1120,2.4,7.0,99.38
EN1121,N/A,N/A,N/A
EN1123,N/A,N/A,N/A
EN1125,N/A,N/A,N/A
EN1126,N/A,N/A,N/A
EN1127,N/A,N/A,N/A
EN1128,N/A,N/A,N/A
EN1130,N/A,N/A,N/A
EN1180,N/A,N/A,N/A
EN1182,N/A,N/A,N/A
EN1265,N/A,N/A,N/A
EN1276,N/A,N/A,N/A
EN2111,N/A,N/A,N/A
EN2112,N/A,N/A,N/A
EN2113,N/A,N/A,N/A
EN2114,N/A,N/A,N/A
EN2116,N/A,N/A,N/A
EN2127,N/A,N/A,N/A
EN2129,N/A,N/A,N/A
EN2130,N/A,N/A,N/A
EN2131,N/A,N/A,N/A
EN2133,N/A,N/A,N/A
EN2134,N/A,N/A,N/A
EN2135,N/A,N/A,N/A
EN2136,N/A,N/A,N/A
EN2137,N/A,N/A,N/A
EN2138,N/A,N/A,N/A
EN2146,N/A,N/A,N/A
EN2250,N/A,N/A,N/A
EN2252,N/A,N/A,N/A
EN2254,N/A,N/A,N/A
EN2282,N/A,N/A,N/A
EN2516,N/A,N/A,N/A
EN2522,N/A,N/A,N/A
EN2533,N/A,N/A,N/A
EN2641,N/A,N/A,N/A
EN3135,N/A,N/A,N/A
EN3139,7.0,25.0,75.0
EN3146,N/A,N/A,N/A
EN3147,N/A,N/A,N/A
EN3148,7.0,30.0,70.0
EN3154,N/A,N/A,N/A
EN3175,N/A,N/A,N/A
EN3176,7.0,30.0,72.0
EN3182,9.0,40.0,85.0
EN3183,6.0,22.0,68.0
EN3184,7.0,30.0,78.0
EN3185,8.5,35.0,82.0
EN3187,N/A,N/A,N/A
EN3188,5.5,18.0,65.0
EN3189,6.0,22.0,70.0
EN3190,5.5,18.0,68.0
EN3192,N/A,N/A,N/A
EN3193,N/A,N/A,N/A
EN3194,5.5,18.0,65.0
EN3196,7.0,28.0,72.0
EN3197,6.0,22.0,70.0
EN3198,N/A,N/A,N/A
EN3199,11.1,56.0,N/A
EN3200,4.0,12.0,60.0
EN3201,N/A,N/A,N/A
EN3202,N/A,N/A,N/A
EN3203,5.5,20.0,68.0
EN3204,6.5,25.0,72.0
EN3206,N/A,N/A,N/A
EN3207,6.5,25.0,70.0
EN3208,7.5,32.0,75.0
EN3209,11.35,58.0,N/A
EN3210,5.5,20.0,65.0
EN3211,6.0,22.0,68.0
EN3212,N/A,N/A,N/A
EN3214,6.5,25.0,70.0
EN3215,15.14,61.55,97.6
EN3216,N/A,N/A,N/A
EN3217,N/A,N/A,N/A
EN3218,N/A,N/A,N/A
EN3219,N/A,N/A,N/A
EN3220,N/A,N/A,N/A
